App源码文件路径,行号,函数名称,描述
input/app/WebCookie/entry/src/main/ets/view/LinkButton.ets,29,build,ArkUI 组件的 UI 构建入口函数
input/app/WebCookie/entry/src/main/ets/pages/Verify.ets,35,onPageShow,页面显示时触发的生命周期函数
input/app/WebCookie/entry/src/main/ets/pages/Verify.ets,39,build,ArkUI 组件的 UI 构建入口函数
input/app/WebCookie/entry/src/main/ets/pages/WebIndex.ets,30,build,ArkUI 组件的 UI 构建入口函数
input/app/WebCookie/entry/src/main/ets/entryability/EntryAbility.ets,21,onCreate,UIAbility 创建时触发的生命周期函数
input/app/WebCookie/entry/src/main/ets/entryability/EntryAbility.ets,25,onDestroy,UIAbility 销毁时触发的生命周期函数
input/app/WebCookie/entry/src/main/ets/entryability/EntryAbility.ets,29,onWindowStageCreate,WindowStage 创建时触发的生命周期函数
input/app/WebCookie/entry/src/main/ets/entryability/EntryAbility.ets,42,onWindowStageDestroy,WindowStage 销毁时触发的生命周期函数
input/app/WebCookie/entry/src/main/ets/entryability/EntryAbility.ets,47,onForeground,UIAbility 切换到前台时触发的生命周期函数
input/app/WebCookie/entry/src/main/ets/entryability/EntryAbility.ets,52,onBackground,UIAbility 切换到后台时触发的生命周期函数
input/app/WebCookie/entry/.preview/default/cache/default/default@PreviewArkTS/esmodule/debug/entry/src/main/ets/pages/Verify.ts,69,onPageShow,页面显示时触发的生命周期函数
input/app/WebCookie/entry/.preview/default/cache/default/default@PreviewArkTS/esmodule/debug/entry/src/main/ets/entryability/EntryAbility.ts,5,onCreate,UIAbility 创建时触发的生命周期函数
input/app/WebCookie/entry/.preview/default/cache/default/default@PreviewArkTS/esmodule/debug/entry/src/main/ets/entryability/EntryAbility.ts,8,onDestroy,UIAbility 销毁时触发的生命周期函数
input/app/WebCookie/entry/.preview/default/cache/default/default@PreviewArkTS/esmodule/debug/entry/src/main/ets/entryability/EntryAbility.ts,11,onWindowStageCreate,WindowStage 创建时触发的生命周期函数
input/app/WebCookie/entry/.preview/default/cache/default/default@PreviewArkTS/esmodule/debug/entry/src/main/ets/entryability/EntryAbility.ts,22,onWindowStageDestroy,WindowStage 销毁时触发的生命周期函数
input/app/WebCookie/entry/.preview/default/cache/default/default@PreviewArkTS/esmodule/debug/entry/src/main/ets/entryability/EntryAbility.ts,26,onForeground,UIAbility 切换到前台时触发的生命周期函数
input/app/WebCookie/entry/.preview/default/cache/default/default@PreviewArkTS/esmodule/debug/entry/src/main/ets/entryability/EntryAbility.ts,30,onBackground,UIAbility 切换到后台时触发的生命周期函数
